id,bill_id,customer_id,invoice_date,year,month,total_rent_cost,received_total_rent_cost,pending_rent_cost,actual_total_security_deposit_amount,received_total_security_deposit_amount,pending_security_amount,received_total_processing_fee,received__total_installation_fee,followup_status,remarks,is_paid_total_amount,invoice_status,due_date,tax,discount_amount,discount_type,discount_reason,Late_Payment_Charge,invoice_mail_status,invoice_sms_status
484,,PR0271,,2018,Aug,446.43,0.00,500.00,0.00,0.00,0,0.00,0.00,,,0,,,53.57,0,0,,0.00,1,0
485,,PR0275,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
486,,PR0278,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
487,,PR0297,,2018,Aug,625.00,0.00,800.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
488,,PR0310,,2018,Aug,1133.47,0.00,1399.99,0.00,0.00,0,0.00,0.00,,,0,,,266.52,0,0,,0.00,1,0
489,,PR0325,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
490,,PR0331,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
491,,PR0333,,2018,Aug,2812.50,0.00,3600.00,0.00,0.00,0,0.00,0.00,,,0,,,787.50,0,0,,0.00,1,0
492,,PR0335,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
493,,PR0341,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
494,,PR0342,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
495,,PR0355,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
496,,PR0357,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
497,,PR0361,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
498,,PR0364,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
499,,PR0365,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
500,,PR0372,,2018,Aug,625.00,0.00,800.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
501,,PR0377,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
502,,PR0381,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
503,,PR0387,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
504,,PR0393,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
505,,PR0394,,2018,Aug,2273.57,0.00,2800.00,0.00,0.00,0,0.00,0.00,,,0,,,526.43,0,0,,0.00,1,0
506,,PR0396,,2018,Aug,1641.95,0.00,2000.00,0.00,0.00,0,0.00,0.00,,,0,,,358.05,0,0,,0.00,1,0
507,,PR0403,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
508,,PR0404,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
509,,PR0405,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
510,,PR0406,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
511,,PR0410,,2018,Aug,338.98,0.00,400.00,0.00,0.00,0,0.00,0.00,,,0,,,61.02,0,0,,0.00,1,0
512,,PR0414,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
513,,PR0429,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
514,,PR0431,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
515,,PR0435,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
516,,PR0447,,2018,Aug,932.20,0.00,1099.99,0.00,0.00,0,0.00,0.00,,,0,,,167.79,0,0,,0.00,1,0
517,,PR0456,,2018,Aug,2782.04,0.00,3399.99,0.00,0.00,0,0.00,0.00,,,0,,,617.95,0,0,,0.00,1,0
518,,PR0463,,2018,Aug,1525.42,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,274.57,0,0,,0.00,1,0
519,,PR0475,,2018,Aug,423.73,0.00,500.00,0.00,0.00,0,0.00,0.00,,,0,,,76.27,0,0,,0.00,1,0
520,,PR0481,,2018,Aug,2039.19,0.00,2499.99,0.00,0.00,0,0.00,0.00,,,0,,,460.80,0,0,,0.00,1,0
521,,PR0484,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
522,,PR0497,,2018,Aug,847.46,0.00,1000.00,0.00,0.00,0,0.00,0.00,,,0,,,152.54,0,0,,0.00,1,0
523,,PR0509,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
524,,PR0513,,2018,Aug,847.46,0.00,1000.00,0.00,0.00,0,0.00,0.00,,,0,,,152.54,0,0,,0.00,1,0
525,,PR0515,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
526,,PR0520,,2018,Aug,1530.72,0.00,1900.00,0.00,0.00,0,0.00,0.00,,,0,,,369.28,0,0,,0.00,1,0
527,,PR0524,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
528,,PR0532,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
529,,PR0533,,2018,Aug,1147.46,0.00,1354.00,0.00,0.00,0,0.00,0.00,,,0,,,206.54,0,0,,0.00,1,0
530,,PR0533A,,2018,Aug,1200.85,0.00,1417.00,0.00,0.00,0,0.00,0.00,,,0,,,216.15,0,0,,0.00,1,0
531,,PR0533B,,2018,Aug,5032.87,0.00,6322.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
532,,PR0533C,,2018,Aug,5032.87,0.00,6322.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
533,,PR0533D,,2018,Aug,5032.87,0.00,6322.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
534,,PR0533E,,2018,Aug,5032.87,0.00,6322.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
535,,PR0533F,,2018,Aug,5032.87,0.00,6322.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
536,,PR0533G,,2018,Aug,1200.85,0.00,1417.00,0.00,0.00,0,0.00,0.00,,,0,,,216.15,0,0,,0.00,1,0
537,,PR0533H,,2018,Aug,3755.53,0.00,4687.00,0.00,0.00,0,0.00,0.00,,,0,,,931.47,0,0,,0.00,1,0
538,,PR0533I,,2018,Aug,3789.98,0.00,4730.00,0.00,0.00,0,0.00,0.00,,,0,,,940.02,0,0,,0.00,1,0
539,,PR0534,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
540,,PR0537,,2018,Aug,1355.93,0.00,1599.99,0.00,0.00,0,0.00,0.00,,,0,,,244.06,0,0,,0.00,1,0
541,,PR0548,,2018,Aug,1171.88,0.00,1500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
542,,PR0550,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
543,,PR0560,,2018,Aug,625.00,0.00,800.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
544,,PR0565,,2018,Aug,3125.00,0.00,4000.00,0.00,0.00,0,0.00,0.00,,,0,,,875.00,0,0,,0.00,1,0
545,,PR0568,,2018,Aug,1843.22,0.00,2300.00,0.00,0.00,0,0.00,0.00,,,0,,,456.78,0,0,,0.00,1,0
546,,PR0574,,2018,Aug,461.02,0.00,544.00,0.00,0.00,0,0.00,0.00,,,0,,,82.98,0,0,,0.00,1,0
547,,PR0577,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
548,,PR0581,,2018,Aug,1171.88,0.00,1500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
549,,PR0582,,2018,Aug,1250.00,0.00,1600.00,0.00,0.00,0,0.00,0.00,,,0,,,350.00,0,0,,0.00,1,0
550,,PR0589,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
551,,PR0591,,2018,Aug,2039.19,0.00,2499.99,0.00,0.00,0,0.00,0.00,,,0,,,460.80,0,0,,0.00,1,0
552,,PR0595,,2018,Aug,1171.88,0.00,1500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
553,,PR0615,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
554,,PR0616,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
555,,PR0621,,2018,Aug,1640.63,0.00,2100.01,0.00,0.00,0,0.00,0.00,,,0,,,459.38,0,0,,0.00,1,0
556,,PR0622,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
557,,PR0623,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
558,,PR0625,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
559,,PR0627,,2018,Aug,625.00,0.00,800.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
560,,PR0628,,2018,Aug,1171.88,0.00,1500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
561,,PR0630,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
562,,PR0634,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
563,,PR0635,,2018,Aug,2474.85,0.00,3100.01,0.00,0.00,0,0.00,0.00,,,0,,,625.16,0,0,,0.00,1,0
564,,PR0641,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
565,,PR0647,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
566,,PR0648,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
567,,PR0649,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
568,,PR0658,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
569,,PR0662,,2018,Aug,2707.63,0.00,3195.00,0.00,0.00,0,0.00,0.00,,,0,,,487.37,0,0,,0.00,1,0
570,,PR0678,,2018,Aug,423.73,0.00,500.00,0.00,0.00,0,0.00,0.00,,,0,,,76.27,0,0,,0.00,1,0
571,,PR0679,,2018,Aug,2980.53,0.00,3584.99,0.00,0.00,0,0.00,0.00,,,0,,,604.46,0,0,,0.00,1,0
572,,PR0681,,2018,Aug,1100.00,0.00,1298.00,0.00,0.00,0,0.00,0.00,,,0,,,198.00,0,0,,0.00,1,0
573,,PR0685,,2018,Aug,1895.76,0.00,2362.00,0.00,0.00,0,0.00,0.00,,,0,,,466.24,0,0,,0.00,1,0
574,,PR0690,,2018,Aug,1171.88,0.00,1500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
575,,PR0691,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
576,,PR0699,,2018,Aug,4921.69,0.00,5869.99,0.00,0.00,0,0.00,0.00,,,0,,,948.30,0,0,,0.00,1,0
577,,PR0710,,2018,Aug,507.63,0.00,599.00,0.00,0.00,0,0.00,0.00,,,0,,,91.37,0,0,,0.00,1,0
578,,PR0713,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
579,,PR0714,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
580,,PR0720,,2018,Aug,507.63,0.00,599.00,0.00,0.00,0,0.00,0.00,,,0,,,91.37,0,0,,0.00,1,0
581,,PR0721,,2018,Aug,507.63,0.00,599.00,0.00,0.00,0,0.00,0.00,,,0,,,91.37,0,0,,0.00,1,0
582,,PR0723,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
583,,PR0725,,2018,Aug,847.46,0.00,1000.00,0.00,0.00,0,0.00,0.00,,,0,,,152.54,0,0,,0.00,1,0
584,,PR0727,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
585,,PR0728,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
586,,PR0729,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
587,,PR0732,,2018,Aug,461.02,0.00,544.00,0.00,0.00,0,0.00,0.00,,,0,,,82.98,0,0,,0.00,1,0
588,,PR0738,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
589,,PR0739,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
590,,PR0740,,2018,Aug,507.63,0.00,599.00,0.00,0.00,0,0.00,0.00,,,0,,,91.37,0,0,,0.00,1,0
591,,PR0743,,2018,Aug,3294.91,0.00,3968.00,0.00,0.00,0,0.00,0.00,,,0,,,673.09,0,0,,0.00,1,0
592,,PR0745,,2018,Aug,1131.85,0.00,1398.00,0.00,0.00,0,0.00,0.00,,,0,,,266.15,0,0,,0.00,1,0
593,,PR0747,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
594,,PR0748,,2018,Aug,1980.08,0.00,2399.00,0.00,0.00,0,0.00,0.00,,,0,,,418.92,0,0,,0.00,1,0
595,,PR0751,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
596,,PR0752,,2018,Aug,1100.00,0.00,1298.00,0.00,0.00,0,0.00,0.00,,,0,,,198.00,0,0,,0.00,1,0
597,,PR0753,,2018,Aug,1706.78,0.00,2014.00,0.00,0.00,0,0.00,0.00,,,0,,,307.22,0,0,,0.00,1,0
598,,PR0755,,2018,Aug,624.22,0.00,799.00,0.00,0.00,0,0.00,0.00,,,0,,,174.78,0,0,,0.00,1,0
599,,PR0762,,2018,Aug,507.63,0.00,599.00,0.00,0.00,0,0.00,0.00,,,0,,,91.37,0,0,,0.00,1,0
600,,PR0763,,2018,Aug,624.22,0.00,799.00,0.00,0.00,0,0.00,0.00,,,0,,,174.78,0,0,,0.00,1,0
601,,PR0766,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
602,,PR0769,,2018,Aug,1250.00,0.00,1600.00,0.00,0.00,0,0.00,0.00,,,0,,,350.00,0,0,,0.00,1,0
603,,PR0770,,2018,Aug,1100.00,0.00,1298.00,0.00,0.00,0,0.00,0.00,,,0,,,198.00,0,0,,0.00,1,0
604,,PR0778,,2018,Aug,829.66,0.00,979.00,0.00,0.00,0,0.00,0.00,,,0,,,149.34,0,0,,0.00,1,0
605,,PR0780,,2018,Aug,2408.47,0.00,3031.99,0.00,0.00,0,0.00,0.00,,,0,,,623.52,0,0,,0.00,1,0
606,,PR0786,,2018,Aug,1275.00,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
607,,PR0789,,2018,Aug,3522.25,0.00,4250.00,0.00,0.00,0,0.00,0.00,,,0,,,727.75,0,0,,0.00,1,0
608,,PR0795,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
609,,PR0797,,2018,Aug,1100.00,0.00,1298.00,0.00,0.00,0,0.00,0.00,,,0,,,198.00,0,0,,0.00,1,0
610,,PR0799,,2018,Aug,2657.58,0.00,3300.01,0.00,0.00,0,0.00,0.00,,,0,,,642.43,0,0,,0.00,1,0
611,,PR0800,,2018,Aug,10761.25,0.00,13660.00,0.00,0.00,0,0.00,0.00,,,0,,,2898.75,0,0,,0.00,1,0
612,,PR0801,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
613,,PR0804,,2018,Aug,5556.15,0.00,6649.99,0.00,0.00,0,0.00,0.00,,,0,,,1093.84,0,0,,0.00,1,0
614,,PR0806,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
615,,PR0807,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
616,,PR0809,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
617,,PR0811,,2018,Aug,5047.68,0.00,6050.00,0.00,0.00,0,0.00,0.00,,,0,,,1002.32,0,0,,0.00,1,0
618,,PR0813,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
619,,PR0814,,2018,Aug,423.73,0.00,500.00,0.00,0.00,0,0.00,0.00,,,0,,,76.27,0,0,,0.00,1,0
620,,PR0815,,2018,Aug,423.73,0.00,500.00,0.00,0.00,0,0.00,0.00,,,0,,,76.27,0,0,,0.00,1,0
621,,PR0816,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
622,,PR0819,,2018,Aug,1016.94,0.00,1199.98,0.00,0.00,0,0.00,0.00,,,0,,,183.04,0,0,,0.00,1,0
623,,PR0820,,2018,Aug,542.37,0.00,640.00,0.00,0.00,0,0.00,0.00,,,0,,,97.63,0,0,,0.00,1,0
624,,PR0821,,2018,Aug,1483.05,0.00,1750.00,0.00,0.00,0,0.00,0.00,,,0,,,266.95,0,0,,0.00,1,0
625,,PR0823,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
626,,PR0825,,2018,Aug,1641.95,0.00,2000.00,0.00,0.00,0,0.00,0.00,,,0,,,358.05,0,0,,0.00,1,0
627,,PR0828,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
628,,PR0830,,2018,Aug,1016.95,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
629,,PR0831,,2018,Aug,1016.95,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
630,,PR0833,,2018,Aug,1016.95,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
631,,PR0837,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
